project_key,mp_name_canonical,work_clean,category,state,constituency,ida,block,village,locality,recommended_date,allocation_amount_numeric,model_risk_level,model_risk_score,model_duplicate_score,model_financial_score,model_split_sanction_score,model_pending_score,same_work_same_locality_count,same_work_same_block_count,same_work_same_constituency_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,same_ida_same_day_count,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,is_near_5_lakh,status,ida_approval,model_reasons,manual_review_label,manual_review_notes,recommended_action
5691b278dde16567,Thiru Dayanidhi Maran,Development of playground,Normal/Others,Tamil Nadu,CHENNAI CENTRAL,COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA,,,"Chennai, 100",2023-11-22,10000000,YELLOW,40.4,3,100.0,0,45,1,0,1,0,0,2,25.0,20.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
0dfa7676c126f0cb,Devender Paul Vats,Construction of buildings for sports facilities,Normal/Others,Haryana,SITTING RAJYA SABHA,DEPUTY COMMISSIONER HISSAR_IDA,Agroha,Agroha(54),"Agroha, Agroha(54)",2023-08-31,10000000,YELLOW,40.4,3,100.0,0,45,1,1,5,0,0,1,25.0,20.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
8e8c68a68a7c4135,Sanjeev Arora,Construction of rooms and halls in school and colleges,Normal/Others,Punjab,SITTING RAJYA SABHA,DEPUTY COMMISSIONER LUDHIANA_IDA,,,"Ludhiana, 74",2023-08-01,10000000,YELLOW,35.9,3,100.0,0,0,1,0,107,0,0,1,25.0,40.5844,false,Unsanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
84908450a800aacf,Dharmendra Pradhan,Development Works related to Public Facilities,Normal/Others,Madhya Pradesh,SITTING RAJYA SABHA,DISTRICT COLLECTOR MORENA_IDA,,,"Porsa, ग्राम पंचायत एंति, ज़िला Morena",2024-01-24,10000000,YELLOW,40.4,3,100.0,0,45,1,0,2,0,0,1,25.0,33.4448,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
88c022e433c45725,Ls Tejasvi Surya,Development of playfields and sports grounds,Normal/Others,Karnataka,BANGALORE SOUTH,DEPUTY COMMISSIONER BANGALORE URBAN_IDA,,,"Bbmp, SHAKHAMBARI NAGAR-179",2023-09-28,10000000,YELLOW,40.4,3,100.0,0,45,1,0,1,0,0,1,25.0,20.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
c815bb3649fae5e9,G C Chandrashekhar,Construction of rooms and halls in school and colleges,Normal/Others,Karnataka,SITTING RAJYA SABHA,DEPUTY COMMISSIONER BANGALORE URBAN_IDA,,,"Bbmp, 159",2023-10-19,9900000,YELLOW,40.4,3,100.0,0,45,1,0,107,0,0,7,24.75,19.8,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
f736f313a18fce39,Ajay Pratap Singh,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Madhya Pradesh,SITTING RAJYA SABHA,DISTRICT COLLECTOR MORENA_IDA,Morena,Aiti,"Morena, Aiti",2023-10-04,9687000,YELLOW,40.4,3,100.0,0,45,1,1,482,0,0,2,24.2175,32.398,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
7694f634da6b34cd,S Jaishankar,Construction of community centers and community halls,Normal/Others,Gujarat,SITTING RAJYA SABHA,DISTRICT COLLECTOR NARMADA_IDA,,,"Rajpipla, Rajpipla",2023-08-14,9545000,YELLOW,35.9,3,100.0,0,0,1,0,198,0,0,3,23.8625,23.8625,false,Unsanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
883122baedfe0dfc,Krishna Pal Singh Yadav,Purchase of mobile water tankers,Normal/Others,Madhya Pradesh,GUNA,DISTRICT COLLECTOR ASHOKNAGAR_IDA,,,"Ashoknagar, All village",2023-12-28,9425705,YELLOW,40.4,3,100.0,0,45,1,0,9,0,0,2,23.5643,31.5241,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
1bb0857c3a22f3fd,Harbhajan Singh,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Punjab,SITTING RAJYA SABHA,DEPUTY COMMISSIONER PATIALA_IDA,,,"Patiala, ranjit Nagar",2024-01-08,9000000,YELLOW,40.4,3,100.0,0,45,1,0,482,0,0,2,22.5,36.526,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
3aee07796e561658,Subhasish Chakrobarty,"Construction of roads, approach roads, link roads and pathways",Normal/Others,West Bengal,SITTING RAJYA SABHA,DISTRICT MAGISTRATE COOCHBEHAR_IDA,Mekliganj,Mekliganj (P),"Mekliganj, Mekliganj (P)",2023-12-21,8941616,YELLOW,40.4,3,100.0,0,45,1,1,482,0,0,1,22.354,44.7081,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
