Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
48,Himachal Pradesh,Shri Anurag Sharma (2026-32) (2026-2032),Elected MP,49000000
104,Gujarat,Shri Kesridevsinh Jhala (2023-29) (2023-2029),Elected MP,171500000
160,Uttar Pradesh,Shri Ramji Lal Suman (2024-30) (2024-2030),Elected MP,147000000
74,Odisha,Shri Dilip Kumar Ray (2026-32) (2026-2032),Elected MP,49000000
39,Bihar,Prof. Manoj Kumar Jha (2024-30) (2024-2030),Elected MP,191620112.11
14,Uttar Pradesh,Dr. K. Laxman (2022-28) (2022-2028),Elected MP,197637007.11
172,Goa,Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029),Elected MP,171500000
219,Tamil Nadu,Smt. Rajathi (2025-31) (2025-2031),Elected MP,89248285.42
65,Jammu And Kashmir,Shri Chowdry Mohammad Ramzan (2025-31) (2025-2031),Elected MP,73500000
120,Gujarat,Shri Mayankkumar Nayak (2024-30) (2024-2030),Elected MP,147000000
1,Telangana,Dr. Abhishek Manu Singhvi (2026-32) (2026-2032),Elected MP,49000000
139,Andhra Pradesh,Shri Paka Venkata Satyanarayana (2025-28) (2025-2028),Elected MP,98000000
129,Uttarakhand,Shri Naresh Bansal (2020-26) (2020-2026),Elected MP,222043184.71
224,Uttar Pradesh,Smt. Sadhna Singh (2024-30) (2024-2030),Elected MP,147000000
38,Delhi,Ms. Swati Maliwal (2024-30) (2024-2030),Elected MP,147000000
182,Delhi,Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,184466426.11
149,Tamil Nadu,Shri R. Girirajan (2022-28) (2022-2028),Elected MP,236312242.52
83,Uttar Pradesh,Shri Hardeep Singh Puri (2020-26) (2020-2026),Elected MP,226801049.11
35,Kerala,Dr. V. Sivadasan (2021-27) (2021-2027),Elected MP,276720323.27
121,Andhra Pradesh,Shri Meda Raghunadha Reddy (2024-30) (2024-2030),Elected MP,147000000
105,Mizoram,Shri Khiangte Laltluangkima (2026-32) (2026-2032),Elected MP,24500000
101,Uttar Pradesh,Shri Kapil Sibal (2022-28) (2022-2028),Elected MP,196063957.11
197,Assam,Shri Terash Gowalla (2026-32) (2026-2032),Elected MP,49000000
228,Rajasthan,Smt. Sonia Gandhi (2024-30) (2024-2030),Elected MP,147000000
33,Uttar Pradesh,Dr. Sudhanshu Trivedi (2024-30) (2024-2030),Elected MP,147000000
204,Madhya Pradesh,Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,220563957.11
171,Tamil Nadu,Shri S.R. Sivalingam (2025-31) (2025-2031),Elected MP,89248285.42
99,Tamil Nadu,Shri Kamal Haasan (2025-31) (2025-2031),Elected MP,89248285.42
49,Uttar Pradesh,Shri Arun Singh (2020-26) (2020-2026),Elected MP,223492764.11
205,Andhra Pradesh,Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030),Elected MP,147000000
177,Kerala,Shri Sandosh Kumar P (2022-28) (2022-2028),Elected MP,220563957.11
77,Rajasthan,Shri Ghanshyam Tiwari (2022-28) (2022-2028),Elected MP,196063957.11
157,Bihar,Shri Ram Nath Thakur (2026-32) (2026-2032),Elected MP,65673638.730000004
192,Odisha,Shri Sujeet Kumar (2026-32) (2026-2032),Elected MP,49000000
162,Rajasthan,Shri Randeep Singh Surjewala (2022-28) (2022-2028),Elected MP,196063957.11
132,Uttar Pradesh,Shri Neeraj Shekhar (2020-26) (2020-2026),Elected MP,236483662.11
20,Tamil Nadu,Dr. M. Thambi Durai (2026-32) (2026-2032),Elected MP,49356476.5
